    0.161500E+01
    0.726000E-01
   200      1     0.620000E-01
    1         0.116107E+10        0.116107E+10        0.116107E+10
    2         0.840050E+09        0.840050E+09        0.840050E+09
    3         0.607787E+09        0.607787E+09        0.607787E+09
    4         0.439742E+09        0.439742E+09        0.439742E+09
    5         0.318159E+09        0.318159E+09        0.318159E+09
    6         0.230192E+09        0.230192E+09        0.230192E+09
    7         0.166547E+09        0.166547E+09        0.166547E+09
    8         0.120498E+09        0.120498E+09        0.120498E+09
    9         0.871801E+08        0.871801E+08        0.871801E+08
   10         0.630737E+08        0.630737E+08        0.630737E+08
   11         0.456322E+08        0.456322E+08        0.456322E+08
   12         0.330132E+08        0.330132E+08        0.330132E+08
   13         0.238835E+08        0.238835E+08        0.238835E+08
   14         0.172788E+08        0.172788E+08        0.172788E+08
   15         0.125009E+08        0.125009E+08        0.125009E+08
   16         0.904476E+07        0.904476E+07        0.904476E+07
   17         0.654472E+07        0.654472E+07        0.654472E+07
   18         0.473623E+07        0.473623E+07        0.473623E+07
   19         0.342784E+07        0.342784E+07        0.342784E+07
   20         0.248109E+07        0.248109E+07        0.248109E+07
   21         0.179580E+07        0.179580E+07        0.179580E+07
   22         0.129960E+07        0.129960E+07        0.129960E+07
   23         0.940156E+06        0.940156E+06        0.940156E+06
   24         0.679666E+06        0.679666E+06        0.679666E+06
   25         0.490818E+06        0.490818E+06        0.490818E+06
   26         0.353874E+06        0.353874E+06        0.353874E+06
   27         0.254562E+06        0.254562E+06        0.254562E+06
   28         0.182558E+06        0.182558E+06        0.182558E+06
   29         0.130386E+06        0.130386E+06        0.130386E+06
   30         0.926243E+05        0.926243E+05        0.926243E+05
   31         0.653391E+05        0.653391E+05        0.653391E+05
   32         0.456700E+05        0.456700E+05        0.456700E+05
   33         0.315359E+05        0.315359E+05        0.315359E+05
   34         0.214211E+05        0.214211E+05        0.214211E+05
   35         0.142208E+05        0.142208E+05        0.142208E+05
   36         0.912973E+04        0.912973E+04        0.912973E+04
   37         0.556082E+04        0.556082E+04        0.556082E+04
   38         0.308667E+04        0.308667E+04        0.308667E+04
   39         0.139642E+04        0.139642E+04        0.139642E+04
   40         0.264479E+03        0.264479E+03        0.264479E+03
   41        -0.472457E+03       -0.472457E+03       -0.472457E+03
   42        -0.932178E+03       -0.932178E+03       -0.932178E+03
   43        -0.119930E+04       -0.119930E+04       -0.119930E+04
   44        -0.133430E+04       -0.133430E+04       -0.133430E+04
   45        -0.138015E+04       -0.138015E+04       -0.138015E+04
   46        -0.136717E+04       -0.136717E+04       -0.136717E+04
   47        -0.131659E+04       -0.131659E+04       -0.131659E+04
