    0.156000E+01
    0.654000E-01
   200      1     0.620000E-01
    1         0.348463E+07        0.348463E+07        0.348463E+07
    2         0.301235E+07        0.301235E+07        0.301235E+07
    3         0.260410E+07        0.260410E+07        0.260410E+07
    4         0.225117E+07        0.225117E+07        0.225117E+07
    5         0.194601E+07        0.194601E+07        0.194601E+07
    6         0.168207E+07        0.168207E+07        0.168207E+07
    7         0.145369E+07        0.145369E+07        0.145369E+07
    8         0.125600E+07        0.125600E+07        0.125600E+07
    9         0.108486E+07        0.108486E+07        0.108486E+07
   10         0.936708E+06        0.936708E+06        0.936708E+06
   11         0.808533E+06        0.808533E+06        0.808533E+06
   12         0.697732E+06        0.697732E+06        0.697732E+06
   13         0.602040E+06        0.602040E+06        0.602040E+06
   14         0.519469E+06        0.519469E+06        0.519469E+06
   15         0.448258E+06        0.448258E+06        0.448258E+06
   16         0.386852E+06        0.386852E+06        0.386852E+06
   17         0.333881E+06        0.333881E+06        0.333881E+06
   18         0.288148E+06        0.288148E+06        0.288148E+06
   19         0.248625E+06        0.248625E+06        0.248625E+06
   20         0.214430E+06        0.214430E+06        0.214430E+06
   21         0.184819E+06        0.184819E+06        0.184819E+06
   22         0.159162E+06        0.159162E+06        0.159162E+06
   23         0.136931E+06        0.136931E+06        0.136931E+06
   24         0.117676E+06        0.117676E+06        0.117676E+06
   25         0.101015E+06        0.101015E+06        0.101015E+06
   26         0.866155E+05        0.866155E+05        0.866155E+05
   27         0.741916E+05        0.741916E+05        0.741916E+05
   28         0.634906E+05        0.634906E+05        0.634906E+05
   29         0.542899E+05        0.542899E+05        0.542899E+05
   30         0.463924E+05        0.463924E+05        0.463924E+05
   31         0.396238E+05        0.396238E+05        0.396238E+05
   32         0.338300E+05        0.338300E+05        0.338300E+05
   33         0.288754E+05        0.288754E+05        0.288754E+05
   34         0.246415E+05        0.246415E+05        0.246415E+05
   35         0.210247E+05        0.210247E+05        0.210247E+05
   36         0.179356E+05        0.179356E+05        0.179356E+05
   37         0.152968E+05        0.152968E+05        0.152968E+05
   38         0.130421E+05        0.130421E+05        0.130421E+05
   39         0.111148E+05        0.111148E+05        0.111148E+05
   40         0.946667E+04        0.946667E+04        0.946667E+04
   41         0.805654E+04        0.805654E+04        0.805654E+04
   42         0.684959E+04        0.684959E+04        0.684959E+04
   43         0.581623E+04        0.581623E+04        0.581623E+04
   44         0.493136E+04        0.493136E+04        0.493136E+04
   45         0.417367E+04        0.417367E+04        0.417367E+04
   46         0.352506E+04        0.352506E+04        0.352506E+04
   47         0.297009E+04        0.297009E+04        0.297009E+04
   48         0.249564E+04        0.249564E+04        0.249564E+04
   49         0.209044E+04        0.209044E+04        0.209044E+04
   50         0.174488E+04        0.174488E+04        0.174488E+04
   51         0.145070E+04        0.145070E+04        0.145070E+04
   52         0.120078E+04        0.120078E+04        0.120078E+04
   53         0.988994E+03        0.988994E+03        0.988994E+03
   54         0.810046E+03        0.810046E+03        0.810046E+03
   55         0.659355E+03        0.659355E+03        0.659355E+03
   56         0.532953E+03        0.532953E+03        0.532953E+03
   57         0.427397E+03        0.427397E+03        0.427397E+03
   58         0.339699E+03        0.339699E+03        0.339699E+03
   59         0.267264E+03        0.267264E+03        0.267264E+03
   60         0.207836E+03        0.207836E+03        0.207836E+03
   61         0.159456E+03        0.159456E+03        0.159456E+03
   62         0.120423E+03        0.120423E+03        0.120423E+03
   63         0.892601E+02        0.892601E+02        0.892601E+02
   64         0.646880E+02        0.646880E+02        0.646880E+02
   65         0.455986E+02        0.455986E+02        0.455986E+02
   66         0.310342E+02        0.310342E+02        0.310342E+02
   67         0.201691E+02        0.201691E+02        0.201691E+02
   68         0.122928E+02        0.122928E+02        0.122928E+02
   69         0.679607E+01        0.679607E+01        0.679607E+01
   70         0.315789E+01        0.315789E+01        0.315789E+01
   71         0.934692E+00        0.934692E+00        0.934692E+00
   72        -0.249516E+00       -0.249516E+00       -0.249516E+00
   73        -0.711770E+00       -0.711770E+00       -0.711770E+00
   74        -0.717751E+00       -0.717751E+00       -0.717751E+00
   75        -0.488489E+00       -0.488489E+00       -0.488489E+00
   76        -0.206290E+00       -0.206290E+00       -0.206290E+00
   77        -0.199572E-01       -0.199572E-01       -0.199572E-01
   78         0.000000E+00        0.000000E+00        0.000000E+00
