    0.185000E+01
    0.391000E-01
   200      1     0.620000E-01
    1         0.232264E+07        0.232264E+07        0.232264E+07
    2         0.205692E+07        0.205692E+07        0.205692E+07
    3         0.182161E+07        0.182161E+07        0.182161E+07
    4         0.161318E+07        0.161318E+07        0.161318E+07
    5         0.142852E+07        0.142852E+07        0.142852E+07
    6         0.126482E+07        0.126482E+07        0.126482E+07
    7         0.111963E+07        0.111963E+07        0.111963E+07
    8         0.990814E+06        0.990814E+06        0.990814E+06
    9         0.876599E+06        0.876599E+06        0.876599E+06
   10         0.775477E+06        0.775477E+06        0.775477E+06
   11         0.686163E+06        0.686163E+06        0.686163E+06
   12         0.607503E+06        0.607503E+06        0.607503E+06
   13         0.538408E+06        0.538408E+06        0.538408E+06
   14         0.477816E+06        0.477816E+06        0.477816E+06
   15         0.424680E+06        0.424680E+06        0.424680E+06
   16         0.377991E+06        0.377991E+06        0.377991E+06
   17         0.336810E+06        0.336810E+06        0.336810E+06
   18         0.300301E+06        0.300301E+06        0.300301E+06
   19         0.267750E+06        0.267750E+06        0.267750E+06
   20         0.238576E+06        0.238576E+06        0.238576E+06
   21         0.212319E+06        0.212319E+06        0.212319E+06
   22         0.188629E+06        0.188629E+06        0.188629E+06
   23         0.167242E+06        0.167242E+06        0.167242E+06
   24         0.147951E+06        0.147951E+06        0.147951E+06
   25         0.130592E+06        0.130592E+06        0.130592E+06
   26         0.115023E+06        0.115023E+06        0.115023E+06
   27         0.101115E+06        0.101115E+06        0.101115E+06
   28         0.887421E+05        0.887421E+05        0.887421E+05
   29         0.777789E+05        0.777789E+05        0.777789E+05
   30         0.681014E+05        0.681014E+05        0.681014E+05
   31         0.595868E+05        0.595868E+05        0.595868E+05
   32         0.521154E+05        0.521154E+05        0.521154E+05
   33         0.455730E+05        0.455730E+05        0.455730E+05
   34         0.398524E+05        0.398524E+05        0.398524E+05
   35         0.348547E+05        0.348547E+05        0.348547E+05
   36         0.304901E+05        0.304901E+05        0.304901E+05
   37         0.266781E+05        0.266781E+05        0.266781E+05
   38         0.233472E+05        0.233472E+05        0.233472E+05
   39         0.204348E+05        0.204348E+05        0.204348E+05
   40         0.178862E+05        0.178862E+05        0.178862E+05
   41         0.156540E+05        0.156540E+05        0.156540E+05
   42         0.136971E+05        0.136971E+05        0.136971E+05
