    0.185000E+01
    0.391000E-01
   200      1     0.620000E-01
    2         0.737942E+07        0.737942E+07        0.737942E+07
    3         0.349049E+07        0.349049E+07        0.349049E+07
    4         0.220123E+07        0.220123E+07        0.220123E+07
    5         0.156366E+07        0.156366E+07        0.156366E+07
    6         0.118754E+07        0.118754E+07        0.118754E+07
    7         0.942287E+06        0.942287E+06        0.942287E+06
    8         0.771543E+06        0.771543E+06        0.771543E+06
    9         0.646894E+06        0.646894E+06        0.646894E+06
   10         0.552416E+06        0.552416E+06        0.552416E+06
   11         0.478502E+06        0.478502E+06        0.478502E+06
   12         0.419047E+06        0.419047E+06        0.419047E+06
   13         0.370023E+06        0.370023E+06        0.370023E+06
   14         0.328707E+06        0.328707E+06        0.328707E+06
   15         0.293225E+06        0.293225E+06        0.293225E+06
   16         0.262272E+06        0.262272E+06        0.262272E+06
   17         0.234927E+06        0.234927E+06        0.234927E+06
   18         0.210537E+06        0.210537E+06        0.210537E+06
   19         0.188630E+06        0.188630E+06        0.188630E+06
   20         0.168856E+06        0.168856E+06        0.168856E+06
   21         0.150952E+06        0.150952E+06        0.150952E+06
   22         0.134711E+06        0.134711E+06        0.134711E+06
   23         0.119969E+06        0.119969E+06        0.119969E+06
   24         0.106586E+06        0.106586E+06        0.106586E+06
   25         0.944442E+05        0.944442E+05        0.944442E+05
   26         0.834398E+05        0.834398E+05        0.834398E+05
   27         0.734799E+05        0.734799E+05        0.734799E+05
   28         0.644803E+05        0.644803E+05        0.644803E+05
   29         0.563640E+05        0.563640E+05        0.563640E+05
   30         0.490602E+05        0.490602E+05        0.490602E+05
   31         0.425032E+05        0.425032E+05        0.425032E+05
   32         0.366322E+05        0.366322E+05        0.366322E+05
   33         0.313907E+05        0.313907E+05        0.313907E+05
   34         0.267259E+05        0.267259E+05        0.267259E+05
   35         0.225889E+05        0.225889E+05        0.225889E+05
   36         0.189339E+05        0.189339E+05        0.189339E+05
   37         0.157183E+05        0.157183E+05        0.157183E+05
   38         0.129025E+05        0.129025E+05        0.129025E+05
   39         0.104494E+05        0.104494E+05        0.104494E+05
   40         0.832458E+04        0.832458E+04        0.832458E+04
   41         0.649607E+04        0.649607E+04        0.649607E+04
   42         0.493408E+04        0.493408E+04        0.493408E+04
   43         0.361098E+04        0.361098E+04        0.361098E+04
