    0.182500E+01
    0.633000E-01
   200      1     0.620000E-01
    1         0.465051E+07        0.465051E+07        0.465051E+07
    2         0.398605E+07        0.398605E+07        0.398605E+07
    3         0.341655E+07        0.341655E+07        0.341655E+07
    4         0.292804E+07        0.292804E+07        0.292804E+07
    5         0.250811E+07        0.250811E+07        0.250811E+07
    6         0.214604E+07        0.214604E+07        0.214604E+07
    7         0.183312E+07        0.183312E+07        0.183312E+07
    8         0.156273E+07        0.156273E+07        0.156273E+07
    9         0.133003E+07        0.133003E+07        0.133003E+07
   10         0.113123E+07        0.113123E+07        0.113123E+07
   11         0.962865E+06        0.962865E+06        0.962865E+06
   12         0.821273E+06        0.821273E+06        0.821273E+06
   13         0.702505E+06        0.702505E+06        0.702505E+06
   14         0.602525E+06        0.602525E+06        0.602525E+06
   15         0.517561E+06        0.517561E+06        0.517561E+06
   16         0.444409E+06        0.444409E+06        0.444409E+06
   17         0.380604E+06        0.380604E+06        0.380604E+06
   18         0.324416E+06        0.324416E+06        0.324416E+06
   19         0.274731E+06        0.274731E+06        0.274731E+06
   20         0.230867E+06        0.230867E+06        0.230867E+06
   21         0.192391E+06        0.192391E+06        0.192391E+06
   22         0.158974E+06        0.158974E+06        0.158974E+06
   23         0.130293E+06        0.130293E+06        0.130293E+06
   24         0.105982E+06        0.105982E+06        0.105982E+06
   25         0.856261E+05        0.856261E+05        0.856261E+05
   26         0.687708E+05        0.687708E+05        0.687708E+05
   27         0.549477E+05        0.549477E+05        0.549477E+05
   28         0.436984E+05        0.436984E+05        0.436984E+05
   29         0.345954E+05        0.345954E+05        0.345954E+05
   30         0.272552E+05        0.272552E+05        0.272552E+05
   31         0.213457E+05        0.213457E+05        0.213457E+05
   32         0.165870E+05        0.165870E+05        0.165870E+05
   33         0.127493E+05        0.127493E+05        0.127493E+05
   34         0.964688E+04        0.964688E+04        0.964688E+04
   35         0.713243E+04        0.713243E+04        0.713243E+04
   36         0.509003E+04        0.509003E+04        0.509003E+04
   37         0.342914E+04        0.342914E+04        0.342914E+04
   38         0.207916E+04        0.207916E+04        0.207916E+04
   39         0.984871E+03        0.984871E+03        0.984871E+03
   40         0.102806E+03        0.102806E+03        0.102806E+03
   41        -0.601662E+03       -0.601662E+03       -0.601662E+03
   42        -0.115650E+04       -0.115650E+04       -0.115650E+04
   43        -0.158465E+04       -0.158465E+04       -0.158465E+04
   44        -0.190527E+04       -0.190527E+04       -0.190527E+04
   45        -0.213461E+04       -0.213461E+04       -0.213461E+04
   46        -0.228662E+04       -0.228662E+04       -0.228662E+04
   47        -0.237345E+04       -0.237345E+04       -0.237345E+04
   48        -0.240571E+04       -0.240571E+04       -0.240571E+04
   49        -0.239278E+04       -0.239278E+04       -0.239278E+04
   50        -0.234294E+04       -0.234294E+04       -0.234294E+04
   51        -0.226347E+04       -0.226347E+04       -0.226347E+04
   52        -0.216082E+04       -0.216082E+04       -0.216082E+04
   53        -0.204063E+04       -0.204063E+04       -0.204063E+04
   54        -0.190783E+04       -0.190783E+04       -0.190783E+04
   55        -0.176669E+04       -0.176669E+04       -0.176669E+04
   56        -0.162089E+04       -0.162089E+04       -0.162089E+04
   57        -0.147355E+04       -0.147355E+04       -0.147355E+04
   58        -0.132730E+04       -0.132730E+04       -0.132730E+04
   59        -0.118432E+04       -0.118432E+04       -0.118432E+04
   60        -0.104640E+04       -0.104640E+04       -0.104640E+04
   61        -0.914940E+03       -0.914940E+03       -0.914940E+03
   62        -0.791056E+03       -0.791056E+03       -0.791056E+03
   63        -0.675573E+03       -0.675573E+03       -0.675573E+03
   64        -0.569072E+03       -0.569072E+03       -0.569072E+03
   65        -0.471931E+03       -0.471931E+03       -0.471931E+03
   66        -0.384349E+03       -0.384349E+03       -0.384349E+03
   67        -0.306377E+03       -0.306377E+03       -0.306377E+03
   68        -0.237942E+03       -0.237942E+03       -0.237942E+03
   69        -0.178870E+03       -0.178870E+03       -0.178870E+03
   70        -0.128907E+03       -0.128907E+03       -0.128907E+03
   71        -0.877353E+02       -0.877353E+02       -0.877353E+02
   72        -0.549905E+02       -0.549905E+02       -0.549905E+02
   73        -0.302730E+02       -0.302730E+02       -0.302730E+02
   74        -0.131604E+02       -0.131604E+02       -0.131604E+02
   75        -0.321650E+01       -0.321650E+01       -0.321650E+01
   76         0.000000E+00        0.000000E+00        0.000000E+00
   77         0.000000E+00        0.000000E+00        0.000000E+00
   78         0.000000E+00        0.000000E+00        0.000000E+00
   79         0.000000E+00        0.000000E+00        0.000000E+00
   80         0.000000E+00        0.000000E+00        0.000000E+00
   81         0.000000E+00        0.000000E+00        0.000000E+00
   82         0.000000E+00        0.000000E+00        0.000000E+00
   83         0.000000E+00        0.000000E+00        0.000000E+00
   84         0.000000E+00        0.000000E+00        0.000000E+00
   85         0.000000E+00        0.000000E+00        0.000000E+00
   86         0.000000E+00        0.000000E+00        0.000000E+00
   87         0.000000E+00        0.000000E+00        0.000000E+00
   88         0.000000E+00        0.000000E+00        0.000000E+00
   89         0.000000E+00        0.000000E+00        0.000000E+00
   90         0.000000E+00        0.000000E+00        0.000000E+00
   91         0.000000E+00        0.000000E+00        0.000000E+00
