    0.182500E+01
    0.633000E-01
   200      1     0.620000E-01
    2         0.497726E+07        0.497726E+07        0.497726E+07
    3         0.234092E+07        0.234092E+07        0.234092E+07
    4         0.146830E+07        0.146830E+07        0.146830E+07
    5         0.103814E+07        0.103814E+07        0.103814E+07
    6         0.785626E+06        0.785626E+06        0.785626E+06
    7         0.622012E+06        0.622012E+06        0.622012E+06
    8         0.508939E+06        0.508939E+06        0.508939E+06
    9         0.427013E+06        0.427013E+06        0.427013E+06
   10         0.365344E+06        0.365344E+06        0.365344E+06
   11         0.317356E+06        0.317356E+06        0.317356E+06
   12         0.278875E+06        0.278875E+06        0.278875E+06
   13         0.247158E+06        0.247158E+06        0.247158E+06
   14         0.220369E+06        0.220369E+06        0.220369E+06
   15         0.197258E+06        0.197258E+06        0.197258E+06
   16         0.176970E+06        0.176970E+06        0.176970E+06
   17         0.158918E+06        0.158918E+06        0.158918E+06
   18         0.142693E+06        0.142693E+06        0.142693E+06
   19         0.128010E+06        0.128010E+06        0.128010E+06
   20         0.114663E+06        0.114663E+06        0.114663E+06
   21         0.102502E+06        0.102502E+06        0.102502E+06
   22         0.914086E+05        0.914086E+05        0.914086E+05
   23         0.812904E+05        0.812904E+05        0.812904E+05
   24         0.720691E+05        0.720691E+05        0.720691E+05
   25         0.636767E+05        0.636767E+05        0.636767E+05
   26         0.560526E+05        0.560526E+05        0.560526E+05
   27         0.491412E+05        0.491412E+05        0.491412E+05
   28         0.428911E+05        0.428911E+05        0.428911E+05
   29         0.372543E+05        0.372543E+05        0.372543E+05
   30         0.321856E+05        0.321856E+05        0.321856E+05
   31         0.276424E+05        0.276424E+05        0.276424E+05
   32         0.235848E+05        0.235848E+05        0.235848E+05
   33         0.199747E+05        0.199747E+05        0.199747E+05
   34         0.167765E+05        0.167765E+05        0.167765E+05
   35         0.139563E+05        0.139563E+05        0.139563E+05
   36         0.114824E+05        0.114824E+05        0.114824E+05
   37         0.932470E+04        0.932470E+04        0.932470E+04
   38         0.745483E+04        0.745483E+04        0.745483E+04
   39         0.584612E+04        0.584612E+04        0.584612E+04
   40         0.447349E+04        0.447349E+04        0.447349E+04
   41         0.331337E+04        0.331337E+04        0.331337E+04
   42         0.234365E+04        0.234365E+04        0.234365E+04
   43         0.154366E+04        0.154366E+04        0.154366E+04
   44         0.894074E+03        0.894074E+03        0.894074E+03
   45         0.376918E+03        0.376918E+03        0.376918E+03
   46        -0.245070E+02       -0.245070E+02       -0.245070E+02
   47        -0.325650E+03       -0.325650E+03       -0.325650E+03
   48        -0.540754E+03       -0.540754E+03       -0.540754E+03
   49        -0.682889E+03       -0.682889E+03       -0.682889E+03
   50        -0.763996E+03       -0.763996E+03       -0.763996E+03
   51        -0.794921E+03       -0.794921E+03       -0.794921E+03
   52        -0.785454E+03       -0.785454E+03       -0.785454E+03
   53        -0.744374E+03       -0.744374E+03       -0.744374E+03
   54        -0.679484E+03       -0.679484E+03       -0.679484E+03
   55        -0.597657E+03       -0.597657E+03       -0.597657E+03
   56        -0.504884E+03       -0.504884E+03       -0.504884E+03
   57        -0.406313E+03       -0.406313E+03       -0.406313E+03
   58        -0.306305E+03       -0.306305E+03       -0.306305E+03
   59        -0.208477E+03       -0.208477E+03       -0.208477E+03
   60        -0.115761E+03       -0.115761E+03       -0.115761E+03
   61        -0.304489E+02       -0.304489E+02       -0.304489E+02
   62         0.457491E+02        0.457491E+02        0.457491E+02
   63         0.111651E+03        0.111651E+03        0.111651E+03
   64         0.166549E+03        0.166549E+03        0.166549E+03
   65         0.210154E+03        0.210154E+03        0.210154E+03
   66         0.242540E+03        0.242540E+03        0.242540E+03
   67         0.264094E+03        0.264094E+03        0.264094E+03
   68         0.275462E+03        0.275462E+03        0.275462E+03
   69         0.277497E+03        0.277497E+03        0.277497E+03
   70         0.271215E+03        0.271215E+03        0.271215E+03
   71         0.257745E+03        0.257745E+03        0.257745E+03
   72         0.238291E+03        0.238291E+03        0.238291E+03
   73         0.214090E+03        0.214090E+03        0.214090E+03
   74         0.186376E+03        0.186376E+03        0.186376E+03
   75         0.156353E+03        0.156353E+03        0.156353E+03
   76         0.125162E+03        0.125162E+03        0.125162E+03
   77         0.938596E+02        0.938596E+02        0.938596E+02
   78         0.634004E+02        0.634004E+02        0.634004E+02
   79         0.346204E+02        0.346204E+02        0.346204E+02
   80         0.822680E+01        0.822680E+01        0.822680E+01
   81        -0.152088E+02       -0.152088E+02       -0.152088E+02
   82        -0.352534E+02       -0.352534E+02       -0.352534E+02
   83        -0.516118E+02       -0.516118E+02       -0.516118E+02
   84        -0.641227E+02       -0.641227E+02       -0.641227E+02
   85        -0.727517E+02       -0.727517E+02       -0.727517E+02
   86        -0.775821E+02       -0.775821E+02       -0.775821E+02
   87        -0.788029E+02       -0.788029E+02       -0.788029E+02
   88        -0.766953E+02       -0.766953E+02       -0.766953E+02
   89        -0.716185E+02       -0.716185E+02       -0.716185E+02
   90        -0.639931E+02       -0.639931E+02       -0.639931E+02
   91        -0.542857E+02       -0.542857E+02       -0.542857E+02
   92        -0.429924E+02       -0.429924E+02       -0.429924E+02
   93        -0.306227E+02       -0.306227E+02       -0.306227E+02
   94        -0.176845E+02       -0.176845E+02       -0.176845E+02
   95        -0.466963E+01       -0.466963E+01       -0.466963E+01
   96         0.795882E+01        0.795882E+01        0.795882E+01
